S.No.,Local Body Code,Local Body Name,Local Body Type,District Level Parent Name,Intermediate Level Parent Name,Ward Code,Ward Number,Ward Name (In English),Ward Name (In Local),State Code,State Name
1,506,North Goa,District Panchayat,,,103742,1,Ward No. 1,Ward No. 1,30,Goa
2,507,South Goa,District Panchayat,,,91211,1,Ward No. 1,Ward No. 1,30,Goa
3,254346,Advalpal,Village Panchayat,North Goa,,1375119,Ward No 01,Ward No 01,,30,Goa
4,254346,Advalpal,Village Panchayat,North Goa,,1375120,Ward No 02,Ward No 02,,30,Goa
5,254346,Advalpal,Village Panchayat,North Goa,,1375121,Ward No 03,Ward No 03,,30,Goa
6,254346,Advalpal,Village Panchayat,North Goa,,1375122,Ward No 04,Ward No 04,,30,Goa
7,254346,Advalpal,Village Panchayat,North Goa,,1375123,Ward No 05,Ward No 05,,30,Goa
8,254347,Agarwada Chopdem,Village Panchayat,North Goa,,1376484,Ward No 1,Ward No 1,,30,Goa
9,254347,Agarwada Chopdem,Village Panchayat,North Goa,,1376485,Ward No 2,Ward No 2,,30,Goa
10,254347,Agarwada Chopdem,Village Panchayat,North Goa,,1376486,Ward No 3,Ward No 3,,30,Goa
11,254347,Agarwada Chopdem,Village Panchayat,North Goa,,1376487,Ward No 4,Ward No 4,,30,Goa
12,254347,Agarwada Chopdem,Village Panchayat,North Goa,,1376488,Ward No 5,Ward No 5,,30,Goa
13,254347,Agarwada Chopdem,Village Panchayat,North Goa,,1376489,Ward No 6,Ward No 6,,30,Goa
14,254347,Agarwada Chopdem,Village Panchayat,North Goa,,1376490,Ward No 7,Ward No 7,,30,Goa
15,254349,Aldona,Village Panchayat,North Goa,,1378731,Ward no 1,Ward No 1,,30,Goa
16,254349,Aldona,Village Panchayat,North Goa,,1378732,Ward no 2,Ward No 2,,30,Goa
17,254349,Aldona,Village Panchayat,North Goa,,1378733,Ward no 3,Ward No 3,,30,Goa
18,254349,Aldona,Village Panchayat,North Goa,,1378734,Ward no 4,Ward No 4,,30,Goa
19,254349,Aldona,Village Panchayat,North Goa,,1378735,Ward no 5,Ward No 5,,30,Goa
20,254349,Aldona,Village Panchayat,North Goa,,1378736,Ward no 6,Ward No 6,,30,Goa
21,254349,Aldona,Village Panchayat,North Goa,,1378737,Ward no 7,Ward No 7,,30,Goa
22,254349,Aldona,Village Panchayat,North Goa,,1378738,Ward no 8,Ward No 8,,30,Goa
23,254349,Aldona,Village Panchayat,North Goa,,1378739,Ward no 9,Ward No 9,,30,Goa
24,254349,Aldona,Village Panchayat,North Goa,,1378740,Ward no 10,Ward No 10,,30,Goa
25,254349,Aldona,Village Panchayat,North Goa,,1378741,Ward no 11,Ward No 11,,30,Goa
26,254350,Alorna,Village Panchayat,North Goa,,1376510,Ward no 1,Ward No 1,,30,Goa
27,254350,Alorna,Village Panchayat,North Goa,,1376511,Ward No 2,Ward No 2,,30,Goa
28,254350,Alorna,Village Panchayat,North Goa,,1376512,Ward No 3,Ward No 3,,30,Goa
29,254350,Alorna,Village Panchayat,North Goa,,1376513,Ward No 4,Ward No 4,,30,Goa
30,254350,Alorna,Village Panchayat,North Goa,,1376514,Ward No 5,Ward No 5,,30,Goa
31,254350,Alorna,Village Panchayat,North Goa,,2437298,Ward No 6,Ward No 6,,30,Goa
32,254350,Alorna,Village Panchayat,North Goa,,2437299,Ward No 7,Ward No 7,,30,Goa
33,254353,Amona,Village Panchayat,North Goa,,1379006,Ward No. 1,Ward No. 1,,30,Goa
34,254353,Amona,Village Panchayat,North Goa,,1379007,Ward No. 2,Ward No. 2,,30,Goa
35,254353,Amona,Village Panchayat,North Goa,,1379008,Ward No. 3,Ward No. 3,,30,Goa
36,254353,Amona,Village Panchayat,North Goa,,1379009,Ward No. 4,Ward No. 4,,30,Goa
37,254353,Amona,Village Panchayat,North Goa,,1379010,Ward No. 5,Ward No. 5,,30,Goa
38,254353,Amona,Village Panchayat,North Goa,,1379011,Ward No. 6,Ward No. 6,,30,Goa
39,254353,Amona,Village Panchayat,North Goa,,1379012,Ward No. 7,Ward No. 7,,30,Goa
40,254354,Anjuna-Caisua,Village Panchayat,North Goa,,1378742,Ward no 1,Ward No 1,,30,Goa
41,254354,Anjuna-Caisua,Village Panchayat,North Goa,,1378743,Ward no 2,Ward No 2,,30,Goa
42,254354,Anjuna-Caisua,Village Panchayat,North Goa,,1378744,Ward no 3,Ward No 3,,30,Goa
43,254354,Anjuna-Caisua,Village Panchayat,North Goa,,1378745,Ward no 4,Ward No 4,,30,Goa
44,254354,Anjuna-Caisua,Village Panchayat,North Goa,,1378746,Ward no 5,Ward No 5,,30,Goa
45,254354,Anjuna-Caisua,Village Panchayat,North Goa,,1378747,Ward no 6,Ward No 6,,30,Goa
46,254354,Anjuna-Caisua,Village Panchayat,North Goa,,1378748,Ward no 7,Ward No 7,,30,Goa
47,254354,Anjuna-Caisua,Village Panchayat,North Goa,,1378749,Ward no 8,Ward No 8,,30,Goa
48,254354,Anjuna-Caisua,Village Panchayat,North Goa,,1378750,Ward no 9,Ward No 9,,30,Goa
49,254354,Anjuna-Caisua,Village Panchayat,North Goa,,1378751,Ward no 10,Ward No 10,,30,Goa
50,254354,Anjuna-Caisua,Village Panchayat,North Goa,,1378752,Ward no 11,Ward No 11,,30,Goa
51,254356,Arambol,Village Panchayat,North Goa,,1377340,Ward no 1,Ward No 1,,30,Goa
52,254356,Arambol,Village Panchayat,North Goa,,1377341,Ward no 2,Ward No 2,,30,Goa
53,254356,Arambol,Village Panchayat,North Goa,,1377342,Ward no 3,Ward No 3,,30,Goa
54,254356,Arambol,Village Panchayat,North Goa,,1377343,Ward no 4,Ward No 4,,30,Goa
55,254356,Arambol,Village Panchayat,North Goa,,1377344,Ward no 5,Ward No 5,,30,Goa
56,254356,Arambol,Village Panchayat,North Goa,,1377345,Ward no 6,Ward No 6,,30,Goa
57,254356,Arambol,Village Panchayat,North Goa,,1377346,Ward no 7,Ward No 7,,30,Goa
58,254356,Arambol,Village Panchayat,North Goa,,1377347,Ward no 8,Ward No 8,,30,Goa
59,254356,Arambol,Village Panchayat,North Goa,,1377348,Ward no 9,Ward No 9,,30,Goa
60,254357,Arpora-Nagoa,Village Panchayat,North Goa,,1378764,Ward no 1,Ward No 1,,30,Goa
61,254357,Arpora-Nagoa,Village Panchayat,North Goa,,1378765,Ward no 2,Ward No 2,,30,Goa
62,254357,Arpora-Nagoa,Village Panchayat,North Goa,,1378766,Ward no 3,Ward No 3,,30,Goa
63,254357,Arpora-Nagoa,Village Panchayat,North Goa,,1378767,Ward no 4,Ward No 4,,30,Goa
64,254357,Arpora-Nagoa,Village Panchayat,North Goa,,1378768,Ward no 5,Ward No 5,,30,Goa
65,254357,Arpora-Nagoa,Village Panchayat,North Goa,,1378769,Ward no 6,Ward No 6,,30,Goa
66,254357,Arpora-Nagoa,Village Panchayat,North Goa,,1378770,Ward no 7,Ward No 7,,30,Goa
67,254358,Assagao,Village Panchayat,North Goa,,1378771,Ward no 1,Ward No 1,,30,Goa
68,254358,Assagao,Village Panchayat,North Goa,,1378772,Ward no 2,Ward No 2,,30,Goa
69,254358,Assagao,Village Panchayat,North Goa,,1378773,Ward no 3,Ward No 3,,30,Goa
70,254358,Assagao,Village Panchayat,North Goa,,1378774,Ward no 4,Ward No 4,,30,Goa
71,254358,Assagao,Village Panchayat,North Goa,,1378775,Ward no 5,Ward No 5,,30,Goa
72,254358,Assagao,Village Panchayat,North Goa,,1378776,Ward no 6,Ward No 6,,30,Goa
73,254358,Assagao,Village Panchayat,North Goa,,1378777,Ward no 7,Ward No 7,,30,Goa
74,254359,Assanora,Village Panchayat,North Goa,,1378778,Ward no 1,Ward No 1,,30,Goa
75,254359,Assanora,Village Panchayat,North Goa,,1378779,Ward no 2,Ward No 2,,30,Goa
76,254359,Assanora,Village Panchayat,North Goa,,1378780,Ward no 3,Ward No 3,,30,Goa
77,254359,Assanora,Village Panchayat,North Goa,,1378781,Ward no 4,Ward No 4,,30,Goa
78,254359,Assanora,Village Panchayat,North Goa,,1378782,Ward no 5,Ward No 5,,30,Goa
79,254359,Assanora,Village Panchayat,North Goa,,1378783,Ward no 6,Ward No 6,,30,Goa
80,254359,Assanora,Village Panchayat,North Goa,,1378784,Ward no 7,Ward No 7,,30,Goa
81,254359,Assanora,Village Panchayat,North Goa,,1378785,Ward no 8,Ward No 8,,30,Goa
82,254359,Assanora,Village Panchayat,North Goa,,1378786,Ward no 9,Ward No 9,,30,Goa
83,254363,Azossim-Mandur,Village Panchayat,North Goa,,1378487,Ward no 1,Ward No 1,,30,Goa
84,254363,Azossim-Mandur,Village Panchayat,North Goa,,1378488,Ward no 2,Ward No 2,,30,Goa
85,254363,Azossim-Mandur,Village Panchayat,North Goa,,1378489,Ward no 3,Ward No 3,,30,Goa
86,254363,Azossim-Mandur,Village Panchayat,North Goa,,1378490,Ward no 4,Ward No 4,,30,Goa
87,254363,Azossim-Mandur,Village Panchayat,North Goa,,1378491,Ward no 5,Ward No 5,,30,Goa
88,254363,Azossim-Mandur,Village Panchayat,North Goa,,1378492,Ward no 6,Ward No 6,,30,Goa
89,254363,Azossim-Mandur,Village Panchayat,North Goa,,1378493,Ward no 7,Ward No 7,,30,Goa
90,254367,Bastora,Village Panchayat,North Goa,,1378787,Ward no 1,Ward No 1,,30,Goa
91,254367,Bastora,Village Panchayat,North Goa,,1378788,Ward no 2,Ward No 2,,30,Goa
92,254367,Bastora,Village Panchayat,North Goa,,1378789,Ward no 3,Ward No 3,,30,Goa
93,254367,Bastora,Village Panchayat,North Goa,,1378790,Ward no 4,Ward No 4,,30,Goa
94,254367,Bastora,Village Panchayat,North Goa,,1378791,Ward no 5,Ward No 5,,30,Goa
95,254367,Bastora,Village Panchayat,North Goa,,1378792,Ward no 6,Ward No 6,,30,Goa
96,254367,Bastora,Village Panchayat,North Goa,,1378793,Ward no 7,Ward No 7,,30,Goa
97,254368,Batim,Village Panchayat,North Goa,,1378494,Ward no 1,Ward No 1,,30,Goa
98,254368,Batim,Village Panchayat,North Goa,,1378495,Ward no 2,Ward No 2,,30,Goa
99,254368,Batim,Village Panchayat,North Goa,,1378496,Ward no 3,Ward No 3,,30,Goa
100,254368,Batim,Village Panchayat,North Goa,,1378497,Ward no 4,Ward No 4,,30,Goa
101,254368,Batim,Village Panchayat,North Goa,,1378498,Ward no 5,Ward No 5,,30,Goa
102,254368,Batim,Village Panchayat,North Goa,,1378499,Ward no 6,Ward No 6,,30,Goa
103,254368,Batim,Village Panchayat,North Goa,,1378500,Ward no 7,Ward No 7,,30,Goa
104,254375,Birondem,Village Panchayat,North Goa,,1378650,Ward No. 1,Ward No. 1,,30,Goa
105,254375,Birondem,Village Panchayat,North Goa,,1378651,Ward No. 2,Ward No. 2,,30,Goa
106,254375,Birondem,Village Panchayat,North Goa,,1378652,Ward No. 3,Ward No. 3,,30,Goa
107,254375,Birondem,Village Panchayat,North Goa,,1378653,Ward No. 4,Ward No. 4,,30,Goa
108,254375,Birondem,Village Panchayat,North Goa,,1378654,Ward No. 5,Ward No. 5,,30,Goa
109,254375,Birondem,Village Panchayat,North Goa,,1378655,Ward No. 6,Ward No. 6,,30,Goa
110,254375,Birondem,Village Panchayat,North Goa,,1378656,Ward No. 7,Ward No. 7,,30,Goa
111,254377,Calangute,Village Panchayat,North Goa,,1378753,Ward No 02,Ward No 02,,30,Goa
112,254377,Calangute,Village Panchayat,North Goa,,1378754,Ward No 03,Ward No 03,,30,Goa
113,254377,Calangute,Village Panchayat,North Goa,,1378755,Ward No 04,Ward No 04,,30,Goa
114,254377,Calangute,Village Panchayat,North Goa,,1378756,Ward No 05,Ward No 05,,30,Goa
115,254377,Calangute,Village Panchayat,North Goa,,1378757,Ward No 06,Ward No 06,,30,Goa
116,254377,Calangute,Village Panchayat,North Goa,,1378758,Ward No 07,Ward No 07,,30,Goa
117,254377,Calangute,Village Panchayat,North Goa,,1378759,Ward No 08,Ward No 08,,30,Goa
118,254377,Calangute,Village Panchayat,North Goa,,1378760,Ward No 09,Ward No 09,,30,Goa
119,254377,Calangute,Village Panchayat,North Goa,,1378761,Ward No 10,Ward No 10,,30,Goa
120,254377,Calangute,Village Panchayat,North Goa,,1378762,Ward No 11,Ward No 11,,30,Goa
121,254377,Calangute,Village Panchayat,North Goa,,1378763,Ward No 01,Ward No 01,,30,Goa
122,254378,Camurli,Village Panchayat,North Goa,,1378794,Ward no 1,Ward No 1,,30,Goa
123,254378,Camurli,Village Panchayat,North Goa,,1378795,Ward no 2,Ward No 2,,30,Goa
124,254378,Camurli,Village Panchayat,North Goa,,1378796,Ward no 3,Ward No 3,,30,Goa
125,254378,Camurli,Village Panchayat,North Goa,,1378797,Ward no 4,Ward No 4,,30,Goa
126,254378,Camurli,Village Panchayat,North Goa,,1378798,Ward no 5,Ward No 5,,30,Goa
127,254378,Camurli,Village Panchayat,North Goa,,1378799,Ward no 6,Ward No 6,,30,Goa
128,254378,Camurli,Village Panchayat,North Goa,,1378800,Ward no 7,Ward No 7,,30,Goa
129,254380,Candolim,Village Panchayat,North Goa,,1378801,Ward no 1,Ward No 1,,30,Goa
130,254380,Candolim,Village Panchayat,North Goa,,1378802,Ward no 2,Ward No 2,,30,Goa
131,254380,Candolim,Village Panchayat,North Goa,,1378803,Ward no 3,Ward No 3,,30,Goa
132,254380,Candolim,Village Panchayat,North Goa,,1378804,Ward no 4,Ward No 4,,30,Goa
133,254380,Candolim,Village Panchayat,North Goa,,1378805,Ward no 5,Ward No 5,,30,Goa
134,254380,Candolim,Village Panchayat,North Goa,,1378806,Ward no 6,Ward No 6,,30,Goa
135,254380,Candolim,Village Panchayat,North Goa,,1378807,Ward no 7,Ward No 7,,30,Goa
136,254380,Candolim,Village Panchayat,North Goa,,1378808,Ward no 8,Ward No 8,,30,Goa
137,254380,Candolim,Village Panchayat,North Goa,,1378809,Ward no 9,Ward No 9,,30,Goa
138,254380,Candolim,Village Panchayat,North Goa,,1378810,Ward no 10,Ward No 10,,30,Goa
139,254380,Candolim,Village Panchayat,North Goa,,1378811,Ward no 11,Ward No 11,,30,Goa
140,254381,Carambolim,Village Panchayat,North Goa,,1378501,Ward no 1,Ward No 1,,30,Goa
141,254381,Carambolim,Village Panchayat,North Goa,,1378502,Ward no 2,Ward No 2,,30,Goa
142,254381,Carambolim,Village Panchayat,North Goa,,1378503,Ward no 3,Ward No 3,,30,Goa
143,254381,Carambolim,Village Panchayat,North Goa,,1378504,Ward no 4,Ward No 4,,30,Goa
144,254381,Carambolim,Village Panchayat,North Goa,,1378505,Ward no 5,Ward No 5,,30,Goa
145,254381,Carambolim,Village Panchayat,North Goa,,1378506,Ward no 6,Ward No 6,,30,Goa
146,254381,Carambolim,Village Panchayat,North Goa,,1378507,Ward no 7,Ward No 7,,30,Goa
147,254381,Carambolim,Village Panchayat,North Goa,,2437300,Ward No. 8,Ward No. 8,,30,Goa
148,254381,Carambolim,Village Panchayat,North Goa,,2437301,Ward No.9,Ward No.9,,30,Goa
149,254383,"Casnem, Amberem,Poroscodem",Village Panchayat,North Goa,,1376503,Ward No 1,Ward No 1,,30,Goa
150,254383,"Casnem, Amberem,Poroscodem",Village Panchayat,North Goa,,1376504,Ward No 2,Ward No 2,,30,Goa
151,254383,"Casnem, Amberem,Poroscodem",Village Panchayat,North Goa,,1376505,Ward No 3,Ward No 3,,30,Goa
152,254383,"Casnem, Amberem,Poroscodem",Village Panchayat,North Goa,,1376506,Ward No 4,Ward No 4,,30,Goa
153,254383,"Casnem, Amberem,Poroscodem",Village Panchayat,North Goa,,1376507,Ward No 5,Ward No 5,,30,Goa
154,254383,"Casnem, Amberem,Poroscodem",Village Panchayat,North Goa,,1376508,Ward No 6,Ward No 6,,30,Goa
155,254383,"Casnem, Amberem,Poroscodem",Village Panchayat,North Goa,,1376509,Ward No 7,Ward No 7,,30,Goa
156,254386,Chandel Hasapur,Village Panchayat,North Goa,,1378354,Ward No. 1,Ward No. 1,,30,Goa
157,254386,Chandel Hasapur,Village Panchayat,North Goa,,1378355,Ward No. 2,Ward No. 2,,30,Goa
158,254386,Chandel Hasapur,Village Panchayat,North Goa,,1378356,Ward No. 3,Ward No. 3,,30,Goa
159,254386,Chandel Hasapur,Village Panchayat,North Goa,,1378357,Ward No. 4,Ward No. 4,,30,Goa
160,254386,Chandel Hasapur,Village Panchayat,North Goa,,1378358,Ward No. 5,Ward No. 5,,30,Goa
161,254390,Chimbel,Village Panchayat,North Goa,,1378508,Ward no 1,Ward No 1,,30,Goa
162,254390,Chimbel,Village Panchayat,North Goa,,1378509,Ward no 2,Ward No 2,,30,Goa
163,254390,Chimbel,Village Panchayat,North Goa,,1378510,Ward no 3,Ward No 3,,30,Goa
164,254390,Chimbel,Village Panchayat,North Goa,,1378511,Ward no 4,Ward No 4,,30,Goa
165,254390,Chimbel,Village Panchayat,North Goa,,1378512,Ward no 5,Ward No 5,,30,Goa
166,254390,Chimbel,Village Panchayat,North Goa,,1378513,Ward no 6,Ward No 6,,30,Goa
167,254390,Chimbel,Village Panchayat,North Goa,,1378514,Ward no 7,Ward No 7,,30,Goa
168,254390,Chimbel,Village Panchayat,North Goa,,1378515,Ward no 8,Ward No 8,,30,Goa
169,254390,Chimbel,Village Panchayat,North Goa,,1378516,Ward no 9,Ward No 9,,30,Goa
170,254390,Chimbel,Village Panchayat,North Goa,,1378517,Ward no 10,Ward No 10,,30,Goa
171,254390,Chimbel,Village Panchayat,North Goa,,1378518,Ward no 11,Ward No 11,,30,Goa
172,254392,Chodan-Madel,Village Panchayat,North Goa,,1378519,Ward no 1,Ward No 1,,30,Goa
173,254392,Chodan-Madel,Village Panchayat,North Goa,,1378520,Ward no 2,Ward No 2,,30,Goa
174,254392,Chodan-Madel,Village Panchayat,North Goa,,1378521,Ward no 3,Ward No 3,,30,Goa
175,254392,Chodan-Madel,Village Panchayat,North Goa,,1378522,Ward no 4,Ward No 4,,30,Goa
176,254392,Chodan-Madel,Village Panchayat,North Goa,,1378523,Ward no 5,Ward No 5,,30,Goa
177,254392,Chodan-Madel,Village Panchayat,North Goa,,1378524,Ward no 6,Ward No 6,,30,Goa
178,254392,Chodan-Madel,Village Panchayat,North Goa,,1378525,Ward no 7,Ward No 7,,30,Goa
179,254392,Chodan-Madel,Village Panchayat,North Goa,,1378526,Ward no 8,Ward No 8,,30,Goa
180,254392,Chodan-Madel,Village Panchayat,North Goa,,1378527,Ward no 9,Ward No 9,,30,Goa
181,254396,Colvale,Village Panchayat,North Goa,,1378812,Ward no 1,Ward No 1,,30,Goa
182,254396,Colvale,Village Panchayat,North Goa,,1378813,Ward no 2,Ward No 2,,30,Goa
183,254396,Colvale,Village Panchayat,North Goa,,1378814,Ward no 3,Ward No 3,,30,Goa
184,254396,Colvale,Village Panchayat,North Goa,,1378815,Ward no 4,Ward No 4,,30,Goa
185,254396,Colvale,Village Panchayat,North Goa,,1378816,Ward no 5,Ward No 5,,30,Goa
186,254396,Colvale,Village Panchayat,North Goa,,1378817,Ward no 6,Ward No 6,,30,Goa
187,254396,Colvale,Village Panchayat,North Goa,,1378818,Ward no 7,Ward No 7,,30,Goa
188,254396,Colvale,Village Panchayat,North Goa,,1378819,Ward no 8,Ward No 8,,30,Goa
189,254396,Colvale,Village Panchayat,North Goa,,1378820,Ward no 9,Ward No 9,,30,Goa
190,254397,Corgao,Village Panchayat,North Goa,,1378372,Ward No. 1,Ward No. 1,,30,Goa
191,254397,Corgao,Village Panchayat,North Goa,,1378373,Ward No. 2,Ward No. 2,,30,Goa
192,254397,Corgao,Village Panchayat,North Goa,,1378374,Ward No. 3,Ward No. 3,,30,Goa
193,254397,Corgao,Village Panchayat,North Goa,,1378375,Ward No. 4,Ward No. 4,,30,Goa
194,254397,Corgao,Village Panchayat,North Goa,,1378376,Ward No. 5,Ward No. 5,,30,Goa
195,254397,Corgao,Village Panchayat,North Goa,,1378377,Ward No. 6,Ward No. 6,,30,Goa
196,254397,Corgao,Village Panchayat,North Goa,,1378378,Ward No. 7,Ward No. 7,,30,Goa
197,254397,Corgao,Village Panchayat,North Goa,,1378379,Ward No. 8,Ward No. 8,,30,Goa
198,254397,Corgao,Village Panchayat,North Goa,,1378380,Ward No. 9,Ward No. 9,,30,Goa
199,254398,Corlim,Village Panchayat,North Goa,,1378528,Ward no 1,Ward No 1,,30,Goa
200,254398,Corlim,Village Panchayat,North Goa,,1378529,Ward no 2,Ward No 2,,30,Goa
201,254398,Corlim,Village Panchayat,North Goa,,1378530,Ward no 3,Ward No 3,,30,Goa
202,254398,Corlim,Village Panchayat,North Goa,,1378531,Ward no 4,Ward No 4,,30,Goa
203,254398,Corlim,Village Panchayat,North Goa,,1378532,Ward no 5,Ward No 5,,30,Goa
204,254398,Corlim,Village Panchayat,North Goa,,1378533,Ward no 6,Ward No 6,,30,Goa
205,254398,Corlim,Village Panchayat,North Goa,,1378534,Ward no 7,Ward No 7,,30,Goa
206,254398,Corlim,Village Panchayat,North Goa,,2437294,Ward No. 8,Ward No. 8,,30,Goa
207,254398,Corlim,Village Panchayat,North Goa,,2437295,Ward No.9,Ward No.9,,30,Goa
208,254401,Cotodem,Village Panchayat,North Goa,,1378657,Ward No. 1,Ward No. 1,,30,Goa
209,254401,Cotodem,Village Panchayat,North Goa,,1378658,Ward No. 2,Ward No. 2,,30,Goa
210,254401,Cotodem,Village Panchayat,North Goa,,1378659,Ward No. 3,Ward No. 3,,30,Goa
211,254401,Cotodem,Village Panchayat,North Goa,,1378660,Ward No. 4,Ward No. 4,,30,Goa
212,254401,Cotodem,Village Panchayat,North Goa,,1378661,Ward No. 5,Ward No. 5,,30,Goa
213,254401,Cotodem,Village Panchayat,North Goa,,1378662,Ward No. 6,Ward No. 6,,30,Goa
214,254401,Cotodem,Village Panchayat,North Goa,,1378663,Ward No. 7,Ward No. 7,,30,Goa
215,254402,Cudnem,Village Panchayat,North Goa,,1379013,Ward No. 1,Ward No. 1,,30,Goa
216,254402,Cudnem,Village Panchayat,North Goa,,1379014,Ward No. 2,Ward No. 2,,30,Goa
217,254402,Cudnem,Village Panchayat,North Goa,,1379015,Ward No. 3,Ward No. 3,,30,Goa
218,254402,Cudnem,Village Panchayat,North Goa,,1379016,Ward No. 4,Ward No. 4,,30,Goa
219,254402,Cudnem,Village Panchayat,North Goa,,1379017,Ward No. 5,Ward No. 5,,30,Goa
220,254402,Cudnem,Village Panchayat,North Goa,,1379018,Ward No. 6,Ward No. 6,,30,Goa
221,254402,Cudnem,Village Panchayat,North Goa,,1379019,Ward No. 7,Ward No. 7,,30,Goa
222,254404,Cumbharjua,Village Panchayat,North Goa,,1378535,Ward no 1,Ward No 1,,30,Goa
223,254404,Cumbharjua,Village Panchayat,North Goa,,1378536,Ward no 2,Ward No 2,,30,Goa
224,254404,Cumbharjua,Village Panchayat,North Goa,,1378537,Ward no 3,Ward No 3,,30,Goa
225,254404,Cumbharjua,Village Panchayat,North Goa,,1378538,Ward no 4,Ward No 4,,30,Goa
226,254404,Cumbharjua,Village Panchayat,North Goa,,1378539,Ward no 5,Ward No 5,,30,Goa
227,254404,Cumbharjua,Village Panchayat,North Goa,,1378540,Ward no 6,Ward No 6,,30,Goa
228,254404,Cumbharjua,Village Panchayat,North Goa,,1378541,Ward no 7,Ward No 7,,30,Goa
229,254404,Cumbharjua,Village Panchayat,North Goa,,2437296,Ward No. 8,Ward No.8,,30,Goa
230,254404,Cumbharjua,Village Panchayat,North Goa,,2437297,Ward No.9,Ward No.9,,30,Goa
231,254405,"Curca, Bambolim, Talaulim",Village Panchayat,North Goa,,1378542,Ward no 1,Ward No 1,,30,Goa
232,254405,"Curca, Bambolim, Talaulim",Village Panchayat,North Goa,,1378543,Ward no 2,Ward No 2,,30,Goa
233,254405,"Curca, Bambolim, Talaulim",Village Panchayat,North Goa,,1378544,Ward no 3,Ward No 3,,30,Goa
234,254405,"Curca, Bambolim, Talaulim",Village Panchayat,North Goa,,1378545,Ward no 4,Ward No 4,,30,Goa
235,254405,"Curca, Bambolim, Talaulim",Village Panchayat,North Goa,,1378546,Ward no 5,Ward No 5,,30,Goa
236,254405,"Curca, Bambolim, Talaulim",Village Panchayat,North Goa,,1378547,Ward no 6,Ward No 6,,30,Goa
237,254405,"Curca, Bambolim, Talaulim",Village Panchayat,North Goa,,1378548,Ward no 7,Ward No 7,,30,Goa
238,254405,"Curca, Bambolim, Talaulim",Village Panchayat,North Goa,,1378549,Ward no 8,Ward No 8,,30,Goa
239,254405,"Curca, Bambolim, Talaulim",Village Panchayat,North Goa,,1378550,Ward no 9,Ward No 9,,30,Goa
240,254405,"Curca, Bambolim, Talaulim",Village Panchayat,North Goa,,1378551,Ward no 10,Ward No 10,,30,Goa
241,254405,"Curca, Bambolim, Talaulim",Village Panchayat,North Goa,,1378552,Ward no 11,Ward No 11,,30,Goa
242,254411,Dhargal,Village Panchayat,North Goa,,1378381,Ward No. 1,Ward No. 1,,30,Goa
243,254411,Dhargal,Village Panchayat,North Goa,,1378382,Ward No. 2,Ward No. 2,,30,Goa
244,254411,Dhargal,Village Panchayat,North Goa,,1378383,Ward No. 3,Ward No. 3,,30,Goa
245,254411,Dhargal,Village Panchayat,North Goa,,1378384,Ward No. 4,Ward No. 4,,30,Goa
246,254411,Dhargal,Village Panchayat,North Goa,,1378385,Ward No. 5,Ward No. 5,,30,Goa
247,254411,Dhargal,Village Panchayat,North Goa,,1378386,Ward No. 6,Ward No. 6,,30,Goa
248,254411,Dhargal,Village Panchayat,North Goa,,1378387,Ward No. 7,Ward No. 7,,30,Goa
249,254411,Dhargal,Village Panchayat,North Goa,,2442170,Ward No. 8,Ward No. 8,,30,Goa
250,254411,Dhargal,Village Panchayat,North Goa,,2442171,Ward No.9,Ward No.9,,30,Goa
251,254412,Dongurli-Thane,Village Panchayat,North Goa,,1378664,Ward No. 1,Ward No. 1,,30,Goa
252,254412,Dongurli-Thane,Village Panchayat,North Goa,,1378665,Ward No. 2,Ward No. 2,,30,Goa
253,254412,Dongurli-Thane,Village Panchayat,North Goa,,1378666,Ward No. 3,Ward No. 3,,30,Goa
254,254412,Dongurli-Thane,Village Panchayat,North Goa,,1378667,Ward No. 4,Ward No. 4,,30,Goa
255,254412,Dongurli-Thane,Village Panchayat,North Goa,,1378668,Ward No. 5,Ward No. 5,,30,Goa
256,254412,Dongurli-Thane,Village Panchayat,North Goa,,1378669,Ward No. 6,Ward No. 6,,30,Goa
257,254412,Dongurli-Thane,Village Panchayat,North Goa,,1378670,Ward No. 7,Ward No. 7,,30,Goa
258,254412,Dongurli-Thane,Village Panchayat,North Goa,,1378671,Ward No. 8,Ward No. 8,,30,Goa
259,254412,Dongurli-Thane,Village Panchayat,North Goa,,1378672,Ward No. 9,Ward No. 9,,30,Goa
260,254417,Goltim-Navelim,Village Panchayat,North Goa,,1378553,Ward no 1,Ward No 1,,30,Goa
261,254417,Goltim-Navelim,Village Panchayat,North Goa,,1378554,Ward no 2,Ward No 2,,30,Goa
262,254417,Goltim-Navelim,Village Panchayat,North Goa,,1378555,Ward no 3,Ward No 3,,30,Goa
263,254417,Goltim-Navelim,Village Panchayat,North Goa,,1378556,Ward no 4,Ward No 4,,30,Goa
264,254417,Goltim-Navelim,Village Panchayat,North Goa,,1378557,Ward no 5,Ward No 5,,30,Goa
265,254417,Goltim-Navelim,Village Panchayat,North Goa,,1378558,Ward no 6,Ward No 6,,30,Goa
266,254417,Goltim-Navelim,Village Panchayat,North Goa,,1378559,Ward no 7,Ward No 7,,30,Goa
267,254419,Guirim,Village Panchayat,North Goa,,1378821,Ward no 1,Ward No 1,,30,Goa
268,254419,Guirim,Village Panchayat,North Goa,,1378822,Ward no 2,Ward No 2,,30,Goa
269,254419,Guirim,Village Panchayat,North Goa,,1378823,Ward no 3,Ward No 3,,30,Goa
